timestamp,endpoint,operation,ano_inicio,ano_fim,mes_inicio,mes_fim,tempo_total_segundos,tempo_scraping_segundos,tempo_processamento_segundos,numero_registros,sucesso,erro_descricao,id_consulta,thread_id,Biblioteca
2025-07-08T21:30:26.498879,/consultar,consulta_assincrona_ano,2020,2020,JANEIRO,DEZEMBRO,20.411088943481445,20.411088943481445,0.0,57,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:30:47.509367,/consultar,consulta_assincrona_ano,2021,2021,JANEIRO,DEZEMBRO,21.006876707077026,21.006876707077026,0.0,63,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:31:07.814156,/consultar,consulta_assincrona_ano,2022,2022,JANEIRO,DEZEMBRO,20.301732778549194,20.301732778549194,0.0,53,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:31:28.292138,/consultar,consulta_assincrona_ano,2023,2023,JANEIRO,DEZEMBRO,20.473716974258423,20.473716974258423,0.0,53,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:31:28.297008,/consultar,consulta_assincrona_final,2004,2023,JANEIRO,DEZEMBRO,436.8130488395691,436.74268865585327,0.0,1524,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:31:42.905797,/consultar,consulta_assincrona_inicio,2004,2023,JANEIRO,DEZEMBRO,0.0012383460998535156,0.0,0.0,0,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,MainThread,Selenium
2025-07-08T21:32:06.428558,/consultar,consulta_assincrona_ano,2004,2004,JANEIRO,DEZEMBRO,23.518507957458496,23.518507957458496,0.0,84,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:32:27.606439,/consultar,consulta_assincrona_ano,2005,2005,JANEIRO,DEZEMBRO,21.174867391586304,21.174867391586304,0.0,89,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:32:50.390959,/consultar,consulta_assincrona_ano,2006,2006,JANEIRO,DEZEMBRO,22.781510829925537,22.781510829925537,0.0,79,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:33:11.340300,/consultar,consulta_assincrona_ano,2007,2007,JANEIRO,DEZEMBRO,20.94639563560486,20.94639563560486,0.0,73,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:33:33.377697,/consultar,consulta_assincrona_ano,2008,2008,JANEIRO,DEZEMBRO,22.03380060195923,22.03380060195923,0.0,82,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:33:58.117343,/consultar,consulta_assincrona_ano,2009,2009,JANEIRO,DEZEMBRO,24.7359676361084,24.7359676361084,0.0,83,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:34:18.942313,/consultar,consulta_assincrona_ano,2010,2010,JANEIRO,DEZEMBRO,20.82133674621582,20.82133674621582,0.0,78,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:34:41.700573,/consultar,consulta_assincrona_ano,2011,2011,JANEIRO,DEZEMBRO,22.755226612091064,22.755226612091064,0.0,79,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:35:02.339601,/consultar,consulta_assincrona_ano,2012,2012,JANEIRO,DEZEMBRO,20.635428428649902,20.635428428649902,0.0,92,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:35:22.915035,/consultar,consulta_assincrona_ano,2013,2013,JANEIRO,DEZEMBRO,20.57241702079773,20.57241702079773,0.0,103,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:35:46.623939,/consultar,consulta_assincrona_ano,2014,2014,JANEIRO,DEZEMBRO,23.70533299446106,23.70533299446106,0.0,99,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:36:07.255159,/consultar,consulta_assincrona_ano,2015,2015,JANEIRO,DEZEMBRO,20.62745714187622,20.62745714187622,0.0,89,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:36:27.724107,/consultar,consulta_assincrona_ano,2016,2016,JANEIRO,DEZEMBRO,20.46533513069153,20.46533513069153,0.0,70,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:36:49.074784,/consultar,consulta_assincrona_ano,2017,2017,JANEIRO,DEZEMBRO,21.347100257873535,21.347100257873535,0.0,68,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:37:10.382147,/consultar,consulta_assincrona_ano,2018,2018,JANEIRO,DEZEMBRO,21.30376410484314,21.30376410484314,0.0,67,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:37:31.999002,/consultar,consulta_assincrona_ano,2019,2019,JANEIRO,DEZEMBRO,21.613228797912598,21.613228797912598,0.0,63,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:37:52.484904,/consultar,consulta_assincrona_ano,2020,2020,JANEIRO,DEZEMBRO,20.482190370559692,20.482190370559692,0.0,57,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:38:13.785102,/consultar,consulta_assincrona_ano,2021,2021,JANEIRO,DEZEMBRO,21.296561002731323,21.296561002731323,0.0,63,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:38:35.062411,/consultar,consulta_assincrona_ano,2022,2022,JANEIRO,DEZEMBRO,21.272881507873535,21.272881507873535,0.0,53,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:38:58.264747,/consultar,consulta_assincrona_ano,2023,2023,JANEIRO,DEZEMBRO,23.198047637939453,23.198047637939453,0.0,53,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:38:58.269918,/consultar,consulta_assincrona_final,2004,2023,JANEIRO,DEZEMBRO,435.3587498664856,435.2873578071594,0.0,1524,True,,729ce4f5-b3c7-4bc0-b239-0b776cd79d67,Thread-103 (_executar_consulta_sequencial),Selenium
2025-07-08T21:39:14.440642,/consultar,consulta_assincrona_inicio,2004,2023,JANEIRO,DEZEMBRO,0.001825571060180664,0.0,0.0,0,True,,eec7444b-e69b-4edd-a6da-7d8479673eea,MainThread,Selenium
